RecordId,Timestamp,SensorName,Level,SensorType,Status,Description
395,2026-04-07 18:28:05,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
394,2026-04-07 18:28:05,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
393,2026-04-07 18:28:04,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
392,2026-04-07 18:28:04,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
391,2026-04-07 18:28:02,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
390,2026-04-07 18:28:01,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
389,2026-04-07 18:28:00,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
388,2026-04-07 18:28:00,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
387,2026-04-07 18:27:58,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
386,2026-04-07 18:27:58,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
385,2026-04-07 18:27:51,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
384,2026-04-07 18:27:41,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
383,2026-04-07 18:26:45,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
382,2026-04-07 18:26:40,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
381,2026-04-07 18:26:39,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
380,2026-04-07 18:26:36,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
379,2026-04-07 18:26:35,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
378,2026-04-07 18:26:35,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
377,2026-04-07 18:26:35,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
376,2026-04-07 18:26:33,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
375,2026-04-07 18:23:17,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
374,2026-04-07 18:23:15,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
373,2026-04-07 18:23:14,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
372,2026-04-07 18:23:11,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
371,2026-04-07 18:23:10,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
370,2026-04-07 18:23:10,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
369,2026-04-07 18:23:08,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
368,2026-04-07 18:23:07,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
367,2026-04-07 18:23:06,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
366,2026-04-07 18:23:03,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
365,2026-04-07 18:22:50,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
364,2026-04-07 18:21:49,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
363,2026-04-07 18:21:47,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
362,2026-04-07 18:21:47,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
361,2026-04-07 18:21:47,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
360,2026-04-07 18:21:47,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
