time-v3.1-2024.9.14,uptime,cpu_idle,mem_used,mdbus_used,mem_free,buff_cache,avail_mem,ssdp.cpu,file_transfer.cpu,framework.cpu,bmc_core.cpu,security.cpu,alarm.cpu,hardware.cpu,om_priv.cpu,energy.cpu,ras.cpu,om.cpu,interface.cpu,dbus_daemon_syslog.cpu,dbus_daemon_system.cpu,ssdp.res,ssdp.shr,ssdp.mem,ssdp.dbus,file_transfer.res,file_transfer.shr,file_transfer.mem,file_transfer.dbus,framework.res,framework.shr,framework.mem,framework.dbus,bmc_core.res,bmc_core.shr,bmc_core.mem,bmc_core.dbus,security.res,security.shr,security.mem,security.dbus,alarm.res,alarm.shr,alarm.mem,alarm.dbus,hardware.res,hardware.shr,hardware.mem,hardware.dbus,om_priv.res,om_priv.shr,om_priv.mem,om_priv.dbus,energy.res,energy.shr,energy.mem,energy.dbus,ras.res,ras.shr,ras.mem,ras.dbus,om.res,om.shr,om.mem,om.dbus,interface.res,interface.shr,interface.mem,interface.dbus,dbus_daemon_syslog.res,dbus_daemon_syslog.shr,dbus_daemon_syslog.mem,dbus_daemon_syslog.dbus,dbus_daemon_system.res,dbus_daemon_system.shr,dbus_daemon_system.mem,dbus_daemon_system.dbus
Sat Feb 21 08:56:04 CGP 2026,345691.75,63.33,1279.43,45238.00,375.83,183.43,354.93,0.17,0.00,41.83,2.47,1.70,3.33,5.60,1.67,18.87,6.47,9.40,2.07,0.00,0.10,8680.00,6820.00,1860.00,20.00,8924.00,7524.00,1400.00,20.00,216772.00,61668.00,155104.00,11566.67,165257.33,51448.00,113809.33,9477.33,83104.00,41976.00,41128.00,5962.67,170484.00,57320.00,113164.00,12764.00,139292.00,51964.00,87328.00,10841.33,88232.00,42348.00,45884.00,5733.33,126677.33,54206.67,72470.67,11662.67,143718.67,57588.00,86130.67,10412.00,157308.00,50640.00,106668.00,7836.00,133636.00,38492.00,95144.00,5754.67,4456.00,2000.00,2456.00,20.00,3776.00,3360.00,416.00,20.00
Sun Feb 22 08:56:14 CGP 2026,432101.97,66.90,1278.10,45238.00,377.50,181.70,356.23,0.23,0.03,45.53,2.47,4.10,3.20,2.90,1.60,25.90,4.27,5.07,2.10,0.07,0.10,8812.00,6820.00,1992.00,20.00,8924.00,7524.00,1400.00,20.00,217204.00,61668.00,155536.00,11566.67,165308.00,51448.00,113860.00,9477.33,83268.00,41976.00,41292.00,5962.67,170208.00,57368.00,112840.00,12782.67,139460.00,51964.00,87496.00,10841.33,88232.00,42348.00,45884.00,5733.33,127338.67,54284.00,73054.67,11666.67,143748.00,57588.00,86160.00,10412.00,157152.00,50652.00,106500.00,7841.33,133832.00,38740.00,95092.00,5842.67,4456.00,2000.00,2456.00,20.00,3776.00,3360.00,416.00,20.00
Mon Feb 23 08:56:25 CGP 2026,518512.30,64.70,1280.13,45239.00,374.70,183.93,354.27,0.23,0.03,45.07,4.60,1.57,3.57,4.97,3.67,20.60,2.07,6.90,4.13,0.07,0.10,8992.00,6820.00,2172.00,20.00,8924.00,7524.00,1400.00,20.00,216996.00,61668.00,155328.00,11566.67,165406.67,51456.00,113950.67,9480.00,83224.00,41976.00,41248.00,5962.67,170544.00,57376.00,113168.00,12782.67,139317.33,51964.00,87353.33,10841.33,88232.00,42348.00,45884.00,5733.33,126684.00,54288.00,72396.00,11668.00,143748.00,57588.00,86160.00,10412.00,157108.00,50656.00,106452.00,7841.33,134056.00,38956.00,95100.00,5842.67,4456.00,2000.00,2456.00,20.00,3776.00,3360.00,416.00,20.00
Tue Feb 24 08:56:46 CGP 2026,604923.05,48.90,1334.80,48744.00,318.80,194.70,299.60,0.13,0.03,56.30,29.40,1.77,6.47,7.00,1.87,23.17,15.17,12.13,16.47,0.03,0.10,9148.00,6820.00,2328.00,20.00,9036.00,7636.00,1400.00,20.00,234212.00,63640.00,170572.00,11852.00,176741.33,60676.00,116065.33,12489.33,86880.00,45204.00,41676.00,6925.33,192404.00,63120.00,129284.00,14674.67,154660.00,59100.00,95560.00,13034.67,94044.00,47844.00,46200.00,7309.33,134052.00,58020.00,76032.00,12890.67,164400.00,65880.00,98520.00,12953.33,170372.00,59724.00,110648.00,10632.00,133408.00,61140.00,72268.00,13018.67,4456.00,2000.00,2456.00,20.00,3776.00,3360.00,416.00,20.00
Wed Feb 25 08:56:56 CGP 2026,691333.35,40.20,1336.23,48874.00,321.03,189.80,298.17,0.17,0.00,66.87,28.30,3.73,7.30,5.00,1.93,32.10,13.80,13.60,3.83,0.00,0.13,9304.00,6820.00,2484.00,20.00,9036.00,7636.00,1400.00,20.00,234648.00,63640.00,171008.00,11852.00,177612.00,61336.00,116276.00,12712.00,87384.00,45668.00,41716.00,7080.00,193412.00,63444.00,129968.00,14777.33,154924.00,59208.00,95716.00,13070.67,94192.00,47960.00,46232.00,7348.00,134476.00,58156.00,76320.00,12936.00,164546.67,66308.00,98238.67,13096.00,170460.00,60028.00,110432.00,10733.33,133900.00,61268.00,72632.00,13060.00,4980.00,2000.00,2980.00,20.00,3776.00,3360.00,416.00,20.00
Fri Feb 27 03:27:06 CGP 2026,86462.54,54.43,1288.27,48719.00,366.57,184.83,346.10,0.30,0.00,59.13,2.53,3.93,5.03,3.43,1.80,19.57,12.63,5.27,5.67,0.10,0.10,8032.00,6696.00,1336.00,20.00,9156.00,7748.00,1408.00,20.00,226988.00,63012.00,163976.00,11824.00,170249.33,54580.00,115669.33,10456.00,84545.33,43088.00,41457.33,6341.33,186824.00,62944.00,123880.00,14542.67,145970.67,57184.00,88786.67,12457.33,90324.00,44500.00,45824.00,6472.00,120976.00,56828.00,64148.00,12562.67,159238.67,63900.00,95338.67,12541.33,163698.67,55696.00,108002.67,9430.67,134668.00,61044.00,73624.00,12964.00,4560.00,1792.00,2768.00,20.00,3816.00,3304.00,512.00,20.00
Wed Mar  4 02:06:38 CGP 2026,144738.37,64.00,1261.63,45961.00,391.77,186.60,372.73,0.23,0.00,48.40,3.37,2.40,7.10,8.70,4.17,14.53,8.97,11.80,2.20,0.10,0.10,8468.00,6892.00,1576.00,20.00,8968.00,7652.00,1316.00,20.00,233272.00,66072.00,167200.00,12614.67,172616.00,56780.00,115836.00,11265.33,83058.67,41696.00,41362.67,5894.67,171412.00,58668.00,112744.00,13152.00,146657.33,56832.00,89825.33,12293.33,83960.00,38276.00,45684.00,4449.33,115188.00,54184.00,61004.00,11832.00,158712.00,64432.00,94280.00,12620.00,160252.00,52312.00,107940.00,8304.00,133224.00,60196.00,73028.00,12706.67,4716.00,2016.00,2700.00,20.00,3912.00,3400.00,512.00,20.00
Thu Mar  5 06:51:20 CGP 2026,86464.15,67.30,1288.63,45970.00,366.53,182.63,345.67,0.27,0.00,48.83,4.30,4.17,4.17,7.57,1.90,15.93,9.27,7.57,3.23,0.07,0.10,8192.00,6740.00,1452.00,20.00,8792.00,7452.00,1340.00,20.00,228712.00,62960.00,165752.00,11580.00,170172.00,55164.00,115008.00,10718.67,84392.00,43360.00,41032.00,6365.33,178248.00,58656.00,119592.00,13110.67,153376.00,58408.00,94968.00,12714.67,92360.00,46408.00,45952.00,6817.33,114264.00,52520.00,61744.00,11145.33,160952.00,63736.00,97216.00,12362.67,166837.33,58932.00,107905.33,10572.00,132060.00,58412.00,73648.00,12048.00,4632.00,1848.00,2784.00,20.00,3864.00,3440.00,424.00,20.00
Sat Mar  7 08:03:10 CGP 2026,86461.10,58.37,1300.07,48717.00,356.43,180.87,334.27,0.13,0.00,62.30,5.57,4.13,7.53,7.17,1.90,23.30,8.57,7.73,2.27,0.00,0.10,8120.00,6768.00,1352.00,20.00,8944.00,7556.00,1388.00,20.00,227632.00,64228.00,163404.00,11996.00,170889.33,54972.00,115917.33,10717.33,83744.00,42660.00,41084.00,6142.67,185318.67,61824.00,123494.67,14160.00,148653.33,58432.00,90221.33,12801.33,87976.00,42272.00,45704.00,5634.67,123060.00,57848.00,65212.00,12864.00,159692.00,65140.00,94552.00,12881.33,163294.67,56132.00,107162.67,9793.33,149644.00,59480.00,90164.00,12533.33,4960.00,2048.00,2912.00,20.00,3692.00,3264.00,428.00,20.00
Sun Mar  8 08:03:20 CGP 2026,172871.34,57.87,1303.73,48718.00,350.73,185.10,330.67,0.10,0.00,69.13,6.20,1.60,9.93,5.83,1.97,27.37,10.07,7.37,4.43,0.00,0.10,8284.00,6768.00,1516.00,20.00,8944.00,7556.00,1388.00,20.00,227304.00,64352.00,162952.00,12032.00,171025.33,54984.00,116041.33,10722.67,83604.00,42796.00,40808.00,6188.00,185542.67,61880.00,123662.67,14177.33,148348.00,58440.00,89908.00,12804.00,87976.00,42272.00,45704.00,5634.67,123252.00,57860.00,65392.00,12868.00,159528.00,65140.00,94388.00,12881.33,163048.00,56192.00,106856.00,9797.33,150072.00,59568.00,90504.00,12540.00,4960.00,2048.00,2912.00,20.00,3692.00,3264.00,428.00,20.00
