RecordId,Timestamp,SensorName,Level,SensorType,Status,Description
630,2026-04-28 06:59:21,DIMM170,Informational,Memory,Asserted,Presence detected
629,2026-04-28 06:59:21,DIMM171,Informational,Memory,Asserted,Presence detected
628,2026-04-28 06:58:17,DISK0,Informational,Drive Slot / Bay,Asserted,Drive Present
627,2026-04-28 06:58:17,BCU1 3V3_RISER2,Major,Voltage,Asserted,Lower Critical going low 
626,2026-04-28 06:58:07,PS3 Status,Informational,Power Supply,Asserted,Presence detected
625,2026-04-28 06:58:04,PS2 Status,Informational,Power Supply,Asserted,Presence detected
624,2026-04-28 06:58:00,PS1 Status,Informational,Power Supply,Asserted,Presence detected
623,2026-04-28 06:57:58,PS6 Status,Informational,Power Supply,Asserted,Presence detected
622,2026-04-28 06:57:56,PS5 Status,Informational,Power Supply,Asserted,Presence detected
621,2026-04-28 06:57:53,PS4 Status,Informational,Power Supply,Asserted,Presence detected
620,2026-04-28 06:56:55,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
619,2026-04-28 06:56:47,Op. Log Full,Informational,Event Logging Disabled,Asserted,Informational
618,2026-04-22 06:49:18,PS2 Status,Informational,Power Supply,Asserted,Power Supply AC lost
617,2026-04-22 06:49:15,PS1 Status,Informational,Power Supply,Asserted,Power Supply AC lost
616,2026-04-22 03:27:28,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
615,2026-04-22 03:21:50,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
614,2026-04-22 03:15:01,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
613,2026-04-22 03:11:00,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
612,2026-04-21 01:37:34,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
611,2026-04-21 01:37:32,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
610,2026-04-21 01:36:40,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
609,2026-04-20 10:12:34,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
608,2026-04-20 05:37:51,DISK0,Informational,Drive Slot / Bay,Deasserted,Drive Present
607,2026-04-20 04:20:57,DISK3,Informational,Drive Slot / Bay,Deasserted,Drive Present
606,2026-04-20 04:20:29,DISK3,Informational,Drive Slot / Bay,Asserted,Drive Present
605,2026-04-20 03:18:26,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
604,2026-04-20 03:18:25,DIMM060,Informational,Memory,Asserted,Presence detected
603,2026-04-20 03:18:25,DIMM151,Informational,Memory,Asserted,Presence detected
602,2026-04-20 03:18:25,DIMM130,Informational,Memory,Asserted,Presence detected
601,2026-04-20 03:18:25,DIMM101,Informational,Memory,Asserted,Presence detected
600,2026-04-20 03:18:24,DIMM031,Informational,Memory,Asserted,Presence detected
599,2026-04-20 03:18:24,DIMM120,Informational,Memory,Asserted,Presence detected
598,2026-04-20 03:18:23,DIMM111,Informational,Memory,Asserted,Presence detected
597,2026-04-20 03:18:23,DIMM110,Informational,Memory,Asserted,Presence detected
596,2026-04-20 03:18:22,DIMM100,Informational,Memory,Asserted,Presence detected
595,2026-04-20 03:18:21,DIMM030,Informational,Memory,Asserted,Presence detected
594,2026-04-20 03:18:21,DIMM000,Informational,Memory,Asserted,Presence detected
593,2026-04-20 03:18:20,DIMM140,Informational,Memory,Asserted,Presence detected
592,2026-04-20 03:18:20,DIMM001,Informational,Memory,Asserted,Presence detected
591,2026-04-20 03:18:19,DIMM141,Informational,Memory,Asserted,Presence detected
590,2026-04-20 03:18:18,DIMM150,Informational,Memory,Asserted,Presence detected
589,2026-04-20 03:18:17,DIMM121,Informational,Memory,Asserted,Presence detected
588,2026-04-20 03:18:16,DIMM161,Informational,Memory,Asserted,Presence detected
587,2026-04-20 03:18:15,DIMM160,Informational,Memory,Asserted,Presence detected
586,2026-04-20 03:18:12,DIMM170,Informational,Memory,Asserted,Presence detected
585,2026-04-20 03:18:07,DIMM171,Informational,Memory,Asserted,Presence detected
584,2026-04-20 03:18:05,DIMM131,Informational,Memory,Asserted,Presence detected
583,2026-04-20 03:18:04,DIMM021,Informational,Memory,Asserted,Presence detected
582,2026-04-20 03:18:03,DIMM020,Informational,Memory,Asserted,Presence detected
581,2026-04-20 03:18:02,DIMM011,Informational,Memory,Asserted,Presence detected
580,2026-04-20 03:18:01,DIMM010,Informational,Memory,Asserted,Presence detected
579,2026-04-20 03:18:01,DIMM061,Informational,Memory,Asserted,Presence detected
578,2026-04-20 03:18:00,DIMM070,Informational,Memory,Asserted,Presence detected
577,2026-04-20 03:17:58,DIMM071,Informational,Memory,Asserted,Presence detected
576,2026-04-20 03:17:57,DIMM040,Informational,Memory,Asserted,Presence detected
575,2026-04-20 03:17:56,DIMM041,Informational,Memory,Asserted,Presence detected
574,2026-04-20 03:17:54,DIMM050,Informational,Memory,Asserted,Presence detected
573,2026-04-20 03:17:53,DIMM051,Informational,Memory,Asserted,Presence detected
